x      y
-15 664.5946239328397
-14 574.59917250831
-13 493.53191880192156
-12 436.2445181735082
-11 359.7143424794994
-10 296.2528622369543
-9 250.94784859668738
-8 180.02102988529072
-7 143.71755203017375
-6 103.89863533954791
-5 73.7121989411136
-4 46.628012321516394
-3 39.727296399701316
-2 2.833182913598426
-1 -0.5642150808247597
0 -11.54988827079065
1 -4.511198284575947
2 19.803929166718905
3 36.70881384526932
4 45.45420771622994
5 79.75870806596576
6 117.3407560109767
7 117.49993912560419
8 210.9195656540488
9 250.6593921247899
10 308.058711336911
11 374.50972827799694
12 442.3749862907542
13 507.2388829655008
14 565.8444228725596
15 663.6104526045511
16 777.7424940394911
17 878.4937046789223
18 957.7723670512767
19 1081.654480133057
20 1221.6245756985822
21 1319.6960999260557
22 1448.3598671454024
23 1587.0978816357826
24 1725.089580222724
25 1857.1830121914945
